head_k,query_id,query_text,tau_method,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay_rate,n_tail_items,total_items
3,1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine (τ=1.0),0.735984,0.689202,0.013584,0.936436,0.019709,0.002030,22,25
3,1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",hybrid (τ=0.72),0.681627,0.629277,0.015034,0.923199,0.023892,0.002250,22,25
3,1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",taumode (τ=0.42),0.623387,0.565072,0.016589,0.906455,0.029357,0.002485,22,25
3,2,What's the best way to gently tell a client their budget is completely unrealistic?,Cosine (τ=1.0),0.712354,0.662312,0.019817,0.929751,0.029921,0.002873,22,25
3,2,What's the best way to gently tell a client their budget is completely unrealistic?,hybrid (τ=0.72),0.654999,0.599799,0.021679,0.915725,0.036143,0.003144,22,25
3,2,What's the best way to gently tell a client their budget is completely unrealistic?,taumode (τ=0.42),0.593546,0.532820,0.023673,0.897689,0.044431,0.003435,22,25
3,3,Our churn rate spiked last month and I need a framework to investigate why.,Cosine (τ=1.0),0.710699,0.647823,0.019729,0.911529,0.030454,0.002703,22,25
3,3,Our churn rate spiked last month and I need a framework to investigate why.,hybrid (τ=0.72),0.653148,0.584050,0.021377,0.894209,0.036601,0.002932,22,25
3,3,Our churn rate spiked last month and I need a framework to investigate why.,taumode (τ=0.42),0.591486,0.515722,0.023142,0.871910,0.044874,0.003178,22,25
3,4,Looking for ways to improve employee retention without just throwing money at the problem.,Cosine (τ=1.0),0.831487,0.700883,0.035474,0.842927,0.050614,0.005256,22,25
3,4,Looking for ways to improve employee retention without just throwing money at the problem.,hybrid (τ=0.72),0.792389,0.642535,0.039835,0.810883,0.061997,0.005907,22,25
3,4,Looking for ways to improve employee retention without just throwing money at the problem.,taumode (τ=0.42),0.750498,0.580019,0.044510,0.772845,0.076739,0.006605,22,25
3,5,I need help mediating a conflict between two senior engineers who strongly disagree on the system architecture.,Cosine (τ=1.0),0.679439,0.608134,0.019486,0.895052,0.032042,0.003014,22,25
3,5,I need help mediating a conflict between two senior engineers who strongly disagree on the system architecture.,hybrid (τ=0.72),0.618667,0.541514,0.020680,0.875292,0.038189,0.003208,22,25
3,5,I need help mediating a conflict between two senior engineers who strongly disagree on the system architecture.,taumode (τ=0.42),0.553554,0.470136,0.021959,0.849305,0.046708,0.003415,22,25
3,6,"How can I pitch a high-risk, high-reward marketing campaign to a conservative board of directors?",Cosine (τ=1.0),0.708429,0.651321,0.012441,0.919387,0.019101,0.001803,22,25
3,6,"How can I pitch a high-risk, high-reward marketing campaign to a conservative board of directors?",hybrid (τ=0.72),0.650639,0.587776,0.013524,0.903382,0.023009,0.001962,22,25
3,6,"How can I pitch a high-risk, high-reward marketing campaign to a conservative board of directors?",taumode (τ=0.42),0.588721,0.519691,0.014684,0.882747,0.028255,0.002132,22,25
3,7,"My startup is running out of runway, what are the immediate steps I should take?",Cosine (τ=1.0),0.692127,0.620894,0.015440,0.897082,0.024868,0.002477,22,25
3,7,"My startup is running out of runway, what are the immediate steps I should take?",hybrid (τ=0.72),0.632830,0.555053,0.016566,0.877096,0.029845,0.002660,22,25
3,7,"My startup is running out of runway, what are the immediate steps I should take?",taumode (τ=0.42),0.569299,0.484509,0.017772,0.851063,0.036680,0.002856,22,25
3,8,"I want to transition from a technical contributor to an engineering manager, what skills am I missing?",Cosine (τ=1.0),0.674799,0.641570,0.008603,0.950757,0.013409,0.001204,22,25
3,8,"I want to transition from a technical contributor to an engineering manager, what skills am I missing?",hybrid (τ=0.72),0.613404,0.577202,0.009285,0.940982,0.016087,0.001299,22,25
3,8,"I want to transition from a technical contributor to an engineering manager, what skills am I missing?",taumode (τ=0.42),0.547625,0.508237,0.010017,0.928076,0.019709,0.001401,22,25
