query_id,query_text,tau_method,rank,doc_id,title,score
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,1,pk_14722,crm help,0.750904
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,2,pk_17450,CRM adoption training plan,0.738487
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,3,pk_03238,crm stuff,0.718562
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,4,pk_13715,CRM Migration Plan,0.715645
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,5,pk_09102,crm help,0.710037
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,6,pk_02282,crm issue,0.707217
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,7,pk_12619,fix my crm,0.703237
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,8,pk_13538,CRM data cleanup action plan,0.702415
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,9,pk_11802,crm help,0.698812
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,10,pk_06894,crm best practices,0.698592
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,11,pk_17069,crm question,0.698592
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,12,pk_14521,update crm,0.697173
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,13,pk_08865,CRM field mapping guide,0.692080
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,14,pk_08498,crm recomendations,0.688716
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,15,pk_14941,crm mess,0.685536
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,16,pk_01647,crm cleanup,0.685536
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,17,pk_13206,CRM integration checklist,0.684823
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,18,pk_18092,CRM Data Cleanup Checklist,0.679518
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,19,pk_08208,crm data cleanup tips,0.676208
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,20,pk_01088,Computer program recommendations,0.675265
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,21,pk_08922,CRM Data Cleanup Checklist,0.674481
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,22,pk_09208,crm clenup,0.673995
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,23,pk_14421,CRM Data Cleanup Checklist,0.672255
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,24,pk_08248,crm integration,0.671338
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Cosine,25,pk_17028,CRM Data Cleanup Strategy,0.670982
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,1,pk_14722,crm help,0.698530
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,2,pk_17450,CRM adoption training plan,0.684413
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,3,pk_03238,crm stuff,0.661938
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,4,pk_13715,CRM Migration Plan,0.658665
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,5,pk_09102,crm help,0.652389
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,6,pk_02282,crm issue,0.649240
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,7,pk_12619,fix my crm,0.644803
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,8,pk_13538,CRM data cleanup action plan,0.643887
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,9,pk_11802,crm help,0.639880
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,10,pk_17069,crm question,0.639635
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,11,pk_06894,crm best practices,0.639635
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,12,pk_14521,update crm,0.638059
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,13,pk_08865,CRM field mapping guide,0.632411
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,14,pk_08498,crm recomendations,0.628688
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,15,pk_14941,crm mess,0.625175
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,16,pk_01647,crm cleanup,0.625175
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,17,pk_13206,CRM integration checklist,0.624387
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",Hybrid,18,pk_18092,CRM Data Cleanup Checklist,0.618542
