query_id,query_text,min_length,spearman_cosine_hybrid,spearman_cosine_taumode,spearman_hybrid_taumode,kendall_cosine_hybrid,kendall_cosine_taumode,kendall_hybrid_taumode,ndcg_hybrid_vs_cosine,ndcg_taumode_vs_cosine,ndcg_taumode_vs_hybrid
1,"I'm having trouble getting my team to adopt the new CRM software, looking for change management tips.",25,0.999231,0.999231,1.000000,0.993333,0.993333,1.000000,0.999940,0.999940,0.999940
2,What's the best way to gently tell a client their budget is completely unrealistic?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,Our churn rate spiked last month and I need a framework to investigate why.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,Looking for ways to improve employee retention without just throwing money at the problem.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,I need help mediating a conflict between two senior engineers who strongly disagree on the system architecture.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999853,0.999853,0.999853
6,"How can I pitch a high-risk, high-reward marketing campaign to a conservative board of directors?",25,0.998462,0.998462,1.000000,0.986667,0.986667,1.000000,0.998241,0.998241,0.998241
7,"My startup is running out of runway, what are the immediate steps I should take?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,"I want to transition from a technical contributor to an engineering manager, what skills am I missing?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,We need to re-engage dormant users who haven't logged in for over six months.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,Help me figure out why our recent product launch didn't generate the buzz we expected.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999928,0.999928,0.999928
11,Is it legal for my landlord to keep my deposit for normal wear and tear in New York?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999932,0.999932,0.999932
12,"My React app is super laggy on mobile, what am I doing wrong?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,Can someone explain Docker to me like I'm 5?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,"I totally bombed my interview, how do I write a follow-up email that doesn't sound desperate?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,Why does my Wi-Fi keep dropping only when I'm on Zoom calls?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
